"","Method","AUC","Sensitivity","Specificity","PPV","NPV","DetectionRate","BalancedAccuracy","SimpleAccuracy","Precision","Recall","F1"
"Sensitivity","Logistic Regression",0.944583333333333,0.923959827833572,0.815181518151815,0.92,0.823333333333333,0.644,0.869570672992694,0.891,0.92,0.923959827833572,0.921975662133143
"Sensitivity1","KNN",0.929966666666667,0.923076923076923,0.825503355704698,0.925714285714286,0.82,0.648,0.874290139390811,0.894,0.925714285714286,0.923076923076923,0.924393723252496
"Sensitivity2","LDA",0.94452619047619,0.945371775417299,0.774193548387097,0.89,0.88,0.623,0.859782661902198,0.887,0.89,0.945371775417299,0.916850625459897
"Sensitivity3","Naive Bayes",0.924454761904761,0.935085007727975,0.730878186968839,0.864285714285714,0.86,0.605,0.832981597348407,0.863,0.864285714285714,0.935085007727975,0.898292501855976
"Sensitivity4","Simple Tree",0.885640476190476,0.927407407407407,0.772307692307692,0.894285714285714,0.836666666666667,0.626,0.84985754985755,0.877,0.894285714285714,0.927407407407407,0.910545454545455
"Sensitivity5","Pruned Tree",0.885640476190476,0.927407407407407,0.772307692307692,0.894285714285714,0.836666666666667,0.626,0.84985754985755,0.877,0.894285714285714,0.927407407407407,0.910545454545455
"Sensitivity6","Bagging",0.93905,0.902816901408451,0.796551724137931,0.915714285714286,0.77,0.641,0.849684312773191,0.872,0.915714285714286,0.902816901408451,0.909219858156028
"Sensitivity7","Random Forest",0.958583333333334,0.93002915451895,0.802547770700637,0.911428571428571,0.84,0.638,0.866288462609794,0.89,0.911428571428571,0.93002915451895,0.920634920634921
"Sensitivity8","Boosting",0.951097619047619,0.813333333333333,0.924285714285714,0.821548821548822,0.920341394025605,0.244,0.868809523809524,0.891,0.821548821548822,0.813333333333333,0.817420435510888
"Sensitivity9","Maximal Margin Classifier",0.744040476190476,0.7,NA,NA,NA,0.7,NA,0.7,1,0.7,0.823529411764706
"Sensitivity10","Support Vector Classifier",0.94202619047619,0.929597701149425,0.825657894736842,0.924285714285714,0.836666666666667,0.647,0.877627797943134,0.898,0.924285714285714,0.929597701149425,0.926934097421203
"Sensitivity11","SVM radial",0.936830952380953,0.930535455861071,0.815533980582524,0.918571428571428,0.84,0.643,0.873034718221798,0.895,0.918571428571429,0.930535455861071,0.92451473759885
"Sensitivity12","SVM Sigmoid",0.812759523809524,0.830110497237569,0.641304347826087,0.858571428571429,0.59,0.601,0.735707422531828,0.778,0.858571428571429,0.830110497237569,0.844101123595505
"Sensitivity13","SVM Polynomial",0.943240476190475,0.929292929292929,0.817589576547231,0.92,0.836666666666667,0.644,0.87344125292008,0.895,0.92,0.929292929292929,0.924623115577889
